uniqueMaterials
Acetone
Acid free tissue (jpp)
Acrylic paints
Aero cotton
Aero Linen
Alum tawed skin-calf
Aquazol 500
Archival cover paper - grey colour (350 gsm)
Archival cover paper-PAAKNG0350
Archival Document repair tape
Archival grey manuscript folder
Archival grey/white folding boxboard-1300 mic
Archival Kraft paper
Archival pHotokraft paper white 350gsm
Archivart Multi use corrugated board
Blotting Paper
Bodleian Handmade Laid Paper 20Ib
Bondina 30 gsm
Book Cloth
Cellulose powder
Corrugated cardboad box age resistant as per DIN ISO 9706
Cotton Tying Tape
Cotton Tying Tape (CR)
Cover paper PC4BLU Blue
Crepe Rubber Eraser
Cyclomethicone D5
E Flute corrugated board
Ethanol
Ethomeen c/25
Ethyl Acetate
Ethyl Methyl Ketone
Evacon-R Conservation Adhesive
Evasol Adhesive
Gelatine (food grade)
Gelatine 180 Bloom
Gelatine 221 Bloom
Gelatine 225 Bloom
Gelatine 287 Bloom
Gelatine granular powder G/0150/53
Gelatine-Gelita gelatine (food)
Gellan Gum powder
Industrial Methylated Spirits (IMS)
Isinglass-fine cut
Klucel G
Kozo -RK-17 19 gsm
Kozo PAJARK0017-RK17
Kozo RK-00 3.6 gsm
Kozo RK-01 8 gsm
Kozushi 23 gsm
Kozushi 632 172
Lascaux 303 HV
Lascaux 498 HV
Linen tape
Linen thread 16/2 hard satin
Linen thread 16/4 satin
Linen thread-35/3
Linen/cotton webbing
Methanol
Methyl Cellulose 2000
MHPC 400
Mill Board (green) 1.5mm
Mill Board (green) 1.8 mm
Mill Board (green) 2.3 mm
Minogami Usukrushi-K36 PAJAPK0036
Minogami Usukushi K36 25 gsm
Mould Made cream laid 22Ib
Mould Made cream laid 32Ib
Mowiol 4-88
Mowiol 4-88 Article no 67760
Museum Board (Cream 1650)
Museum Board (TG Off white 2200)
Museum Board (TG Off white1650)
PEL Softwrap
pHoton paper 80gsm
PLASTAZOTE Foam
PLASTAZOTE LD45
Polyester sleeve (6x4 photographs)
Polyester sleeve (A4 photographs)
Polyester-100 micron
Polyester-50 micron
Polyester-75 micron
Propan-2-ol
Rag Endleaf- 120 gsm
Rag Endleaf-160 gsm
Ruscombe Mill cream wove (65 gsm)
Ruscombe Mill dark wove - off white (65 gsm)
seaming twine
Sekishu Hanshi K25 25 gsm
Sekishu Natural 34 gsm
Shoufu
Smoke sponge
Staedtler Mars plastic eraser
Starch Wheat
Tengujo (Bib) 12gsm
Tengujo (Schempp)
Tengujo 1907/1002 11 gsm
Tosa Kozoshi Kasaban (46 gsm)
Turpentine Oil
Tyvek Seal Bag Fleece
Urishikoshi - Kozo (5.7gsm)
Urishikoshi- K93 PAJAPK0093
Usu mino 28 gsm
Usu mino K38 16 gsm
Watercolour paints
Xylene
