label,centrality
"[Modification of Library of Congress, 4318_005]",9.0
"[Book (Library of Congress, 3927)]",9.0
"[Modification of Library of Congress, 3824]",9.0
"[Modification of Library of Congress, 4318_003]",9.0
"[Modification of Library of Congress, 4240]",9.0
"[Modification of Library of Congress, 3966]",9.0
"[Modification of Library of Congress, 4388_101_01]",9.0
"[Modification of Library of Congress, 3674]",9.0
"[Modification of Library of Congress, 2247]",9.0
"[Modification of Library of Congress, 2687]",9.0
"[Modification of Library of Congress, 4318_002]",9.0
"[Modification of Library of Congress, 2687]",9.0
"[Modification of Library of Congress, 4357_005_001]",9.0
"[Modification of Library of Congress, 4388_101_01]",9.0
"[Modification of Library of Congress, 4053]",9.0
"[Modification of Library of Congress, 4318_002]",9.0
"[Modification of Library of Congress, 4318_001]",9.0
"[Modification of Library of Congress, 3824]",9.0
"[Modification of Library of Congress, 4539_003]",9.0
"[Modification of Library of Congress, 3824]",9.0
"[Modification of Library of Congress, 3995]",9.0
"[Modification of Library of Congress, 4265]",9.0
"[Modification of Library of Congress, 4247]",9.0
"[Modification of Library of Congress, 4341]",9.0
"[Modification of Library of Congress, 3994]",9.0
"[Modification of Library of Congress, 3927]",9.0
"[Modification of Library of Congress, 4318_001]",9.0
"[Modification of Library of Congress, 3995]",9.0
"[Modification of Library of Congress, 3968]",9.0
"[Modification of Library of Congress, 3494]",9.0
"[Modification of Library of Congress, 4053]",9.0
"[Modification of Library of Congress, 4318_005]",9.0
"[Modification of Library of Congress, 2247]",9.0
"[Modification of Library of Congress, 3027]",9.0
"[Modification of Library of Congress, 3494]",9.0
"[Modification of Library of Congress, 4053]",9.0
"[Modification of Library of Congress, 2966]",9.0
"[Modification of Library of Congress, 3027]",9.0
"[Modification of Library of Congress, 4318_001]",9.0
"[Modification of Library of Congress, 4318_005]",9.0
"[Modification of Library of Congress, 3824]",9.0
"[Modification of Library of Congress, 4247]",9.0
"[Modification of Library of Congress, 1697]",9.0
"[Modification of Library of Congress, 4165]",9.0
"[Modification of Library of Congress, 3819]",9.0
"[Modification of Library of Congress, 4318_003]",9.0
"[Modification of Library of Congress, 3819]",9.0
"[Modification of Library of Congress, 2966]",9.0
"[Modification of Library of Congress, 4318_005]",9.0
"[Modification of Library of Congress, 3966]",9.0
"[Modification of Library of Congress, 4265]",9.0
"[Modification of Library of Congress, 3927]",9.0
"[Modification of Library of Congress, 3927]",9.0
"[Modification of Library of Congress, 3494]",9.0
"[Modification of Library of Congress, 4318_006]",9.0
"[Modification of Library of Congress, 4539_003]",9.0
"[Modification of Library of Congress, 4318_003]",9.0
"[Modification of Library of Congress, 4318_006]",9.0
"[Modification of Library of Congress, 4165]",9.0
