label,centrality
"[Modification of The National Archives, B 3/5243]",11.0
"[Modification of The National Archives, T 20/1220]",11.0
"[Modification of The National Archives, SP 104/143]",11.0
"[Book (The National Archives, CO 473/9)]",10.75
"[Book (The National Archives, LC 5/156)]",10.5
"[Book (The National Archives, HCA 13/56)]",10.25
"[Book (The National Archives, ADM 55/107)]",10.25
"[Book (The National Archives, ADM 139/1025)]",10.25
"[Modification of The National Archives, CRIM 10/28]",10.0
"[Book (The National Archives, ADM 139/1023)]",10.0
"[Modification of The National Archives, ADM 1/5437]",10.0
"[Book (The National Archives, ADM 1/2628)]",10.0
"[Modification of The National Archives, T 20/1220]",10.0
"[Modification of The National Archives, B 3/5243]",10.0
"[Modification of The National Archives, ADM 1/5437]",10.0
"[Book (The National Archives, CO 5/904)]",10.0
"[Book (The National Archives, CRES 40/25A)]",9.75
"[Book (The National Archives, E 315/128)]",9.75
"[Modification of The National Archives, T 20/1220]",9.0
"[Modification of The National Archives, WO 381/11]",9.0
"[Modification of The National Archives, ADM 1/5437]",9.0
"[Modification of The National Archives, LC 5/156]",9.0
"[Modification of The National Archives, PRO 30/69/1186]",9.0
"[Modification of The National Archives, SP 104/143]",9.0
"[Modification of The National Archives, RAIL 950/17]",9.0
"[Modification of The National Archives, PC 6/15]",9.0
"[Modification of The National Archives, CO 299/89]",9.0
"[Modification of The National Archives, PRO 30/69/1186]",9.0
"[Modification of The National Archives, ADM 139/1027]",9.0
"[Modification of The National Archives, ADM 223/31]",9.0
"[Modification of The National Archives, ADM 37/5039]",9.0
"[Modification of The National Archives, CO 473/9]",9.0
"[Modification of The National Archives, LC 5/156]",9.0
"[Modification of The National Archives, E 36/29]",9.0
"[Modification of The National Archives, E 315/128]",9.0
"[Modification of The National Archives, ADM 1/5438]",9.0
"[Modification of The National Archives, PRO 30/69/1186]",9.0
"[Modification of The National Archives, SP 91/14]",9.0
"[Modification of The National Archives, SP 24/18]",9.0
"[Modification of The National Archives, ADM 37/5039]",9.0
"[Modification of The National Archives, SP 44/335]",9.0
"[Modification of The National Archives, CRES 40/25A]",9.0
"[Modification of The National Archives, RAIL 950/17]",9.0
"[Modification of The National Archives, ADM 37/5039]",9.0
"[Modification of The National Archives, RAIL 527/1429]",9.0
"[Modification of The National Archives, FO 802/614]",9.0
"[Modification of The National Archives, CO 31/1]",9.0
"[Modification of The National Archives, ADM 1/5437]",9.0
"[Modification of The National Archives, FO 802/607]",9.0
"[Modification of The National Archives, WO 381/11]",9.0
"[Modification of The National Archives, RAIL 950/17]",9.0
"[Modification of The National Archives, FO 802/607]",9.0
"[Modification of The National Archives, FO 802/607]",9.0
"[Modification of The National Archives, LC 5/156]",9.0
"[Modification of The National Archives, CO 299/89]",9.0
"[Modification of The National Archives, CO 299/89]",9.0
"[Modification of The National Archives, E 405/550]",9.0
"[Modification of The National Archives, FO 802/614]",9.0
"[Modification of The National Archives, SP 44/335]",9.0
"[Modification of The National Archives, WO 381/11]",9.0
"[Modification of The National Archives, WO 69/905]",9.0
"[Modification of The National Archives, WO 381/11]",9.0
"[Modification of The National Archives, DL 30/603/2]",9.0
"[Modification of The National Archives, SP 71/19]",9.0
"[Modification of The National Archives, RAIL 527/1429]",9.0
"[Modification of The National Archives, ADM 223/31]",9.0
"[Modification of The National Archives, HCA 13/78]",9.0
"[Modification of The National Archives, ADM 1/5438]",9.0
"[Modification of The National Archives, ADM 42/681]",9.0
"[Modification of The National Archives, B 3/5243]",9.0
"[Modification of The National Archives, SP 104/171]",9.0
"[Modification of The National Archives, CRIM 10/28]",9.0
"[Modification of The National Archives, SP 104/171]",9.0
"[Modification of The National Archives, DL 30/603/2]",9.0
"[Modification of The National Archives, HCA 13/78]",9.0
"[Modification of The National Archives, B 3/5243]",9.0
"[Modification of The National Archives, ADM 223/31]",9.0
"[Modification of The National Archives, FO 802/614]",9.0
"[Modification of The National Archives, SP 91/14]",9.0
"[Modification of The National Archives, LC 5/156]",9.0
"[Modification of The National Archives, SP 104/171]",9.0
"[Modification of The National Archives, ADM 42/681]",9.0
"[Modification of The National Archives, DL 30/603/2]",9.0
"[Modification of The National Archives, SP 24/18]",9.0
"[Modification of The National Archives, HCA 13/56]",9.0
"[Modification of The National Archives, RAIL 950/17]",9.0
"[Modification of The National Archives, B 3/5243]",9.0
"[Modification of The National Archives, SP 104/171]",9.0
"[Modification of The National Archives, ADM 42/681]",9.0
"[Modification of The National Archives, HCA 13/56]",9.0
"[Modification of The National Archives, SP 91/14]",9.0
"[Modification of The National Archives, PC 6/15]",9.0
"[Modification of The National Archives, HCA 13/56]",9.0
"[Modification of The National Archives, CRIM 10/28]",9.0
"[Modification of The National Archives, CO 299/89]",9.0
"[Modification of The National Archives, E 405/550]",9.0
"[Modification of The National Archives, E 36/29]",9.0
"[Modification of The National Archives, SP 104/143]",9.0
"[Modification of The National Archives, ADM 42/681]",9.0
"[Modification of The National Archives, HCA 13/78]",9.0
"[Modification of The National Archives, HCA 13/56]",9.0
"[Modification of The National Archives, RAIL 527/1429]",9.0
"[Modification of The National Archives, E 315/128]",9.0
"[Modification of The National Archives, E 405/550]",9.0
"[Modification of The National Archives, ADM 1/5437]",9.0
"[Modification of The National Archives, WO 69/905]",9.0
"[Modification of The National Archives, SP 71/19]",9.0
"[Modification of The National Archives, ADM 1/5438]",9.0
"[Modification of The National Archives, CO 31/1]",9.0
"[Modification of The National Archives, T 20/1220]",9.0
"[Modification of The National Archives, RAIL 527/1429]",9.0
"[Modification of The National Archives, RAIL 950/17]",9.0
"[Modification of The National Archives, FO 97/341]",9.0
"[Modification of The National Archives, SP 104/171]",9.0
"[Modification of The National Archives, RAIL 950/17]",9.0
"[Modification of The National Archives, E 315/128]",9.0
"[Modification of The National Archives, ADM 37/5039]",9.0
"[Modification of The National Archives, ASSI 41/4]",9.0
"[Modification of The National Archives, ADM 1/5437]",9.0
"[Modification of The National Archives, FO 97/341]",9.0
"[Modification of The National Archives, CRIM 10/28]",9.0
"[Modification of The National Archives, SP 44/335]",9.0
"[Modification of The National Archives, ASSI 41/4]",9.0
"[Modification of The National Archives, SP 71/19]",9.0
"[Modification of The National Archives, ADM 139/1027]",9.0
"[Modification of The National Archives, SP 104/143]",9.0
"[Modification of The National Archives, FO 97/341]",9.0
"[Modification of The National Archives, ADM 1/5438]",9.0
"[Modification of The National Archives, WO 69/905]",9.0
"[Modification of The National Archives, ADM 223/31]",9.0
"[Modification of The National Archives, T 20/1220]",9.0
"[Modification of The National Archives, PRO 30/69/1186]",9.0
"[Modification of The National Archives, FO 802/614]",9.0
"[Modification of The National Archives, SP 104/171]",9.0
"[Modification of The National Archives, SP 24/18]",9.0
"[Modification of The National Archives, SP 71/19]",9.0
"[Modification of The National Archives, CRES 40/25A]",9.0
"[Modification of The National Archives, ADM 1/5438]",9.0
"[Modification of The National Archives, E 36/29]",9.0
"[Modification of The National Archives, CO 31/1]",9.0
"[Modification of The National Archives, CRIM 10/28]",9.0
"[Modification of The National Archives, CO 473/9]",9.0
"[Modification of The National Archives, CO 473/9]",9.0
"[Removal from The National Archives, CO 31/1]",9.0
"[Modification of The National Archives, SP 24/18]",9.0
"[Modification of The National Archives, FO 97/341]",9.0
"[Modification of The National Archives, CO 31/1]",9.0
"[Modification of The National Archives, FO 802/607]",9.0
"[Modification of The National Archives, SP 91/14]",9.0
"[Modification of The National Archives, E 315/128]",9.0
"[Modification of The National Archives, ASSI 41/4]",9.0
"[Modification of The National Archives, T 20/1220]",9.0
"[Modification of The National Archives, PC 6/15]",9.0
"[Modification of The National Archives, SP 104/143]",9.0
"[Modification of The National Archives, ASSI 41/4]",9.0
"[Modification of The National Archives, ADM 139/1027]",9.0
"[Modification of The National Archives, PC 6/15]",9.0
"[Modification of The National Archives, SP 44/335]",9.0
"[Modification of The National Archives, E 405/550]",9.0
"[Modification of The National Archives, HCA 13/78]",9.0
"[Modification of The National Archives, CO 31/1]",9.0
"[Modification of The National Archives, E 36/29]",9.0
"[Modification of The National Archives, CRES 40/25A]",9.0
"[Modification of The National Archives, CRES 40/25A]",9.0
"[Modification of The National Archives, SP 104/171]",9.0
"[Modification of The National Archives, WO 69/905]",9.0
"[Modification of The National Archives, SP 24/18]",9.0
"[Modification of The National Archives, SP 44/335]",9.0
"[Modification of The National Archives, ADM 1/5438]",9.0
"[Modification of The National Archives, SP 24/18]",9.0
"[Modification of The National Archives, CO 31/1]",9.0
"[Modification of The National Archives, DL 30/603/2]",9.0
"[Modification of The National Archives, B 3/5243]",9.0
"[Modification of The National Archives, CO 473/9]",9.0
"[Modification of The National Archives, SP 44/335]",9.0
"[Modification of The National Archives, DL 30/603/2]",9.0
"[Modification of The National Archives, ADM 1/5437]",9.0
"[Modification of The National Archives, ADM 139/1027]",9.0
"[Modification of The National Archives, DL 30/603/2]",8.0
"[Modification of The National Archives, ADM 1/2628]",8.0
"[Modification of The National Archives, CO 31/1]",8.0
"[Modification of The National Archives, LC 5/156]",8.0
"[Modification of The National Archives, WO 69/905]",8.0
"[Modification of The National Archives, SP 71/19]",8.0
"[Modification of The National Archives, ADM 55/32]",8.0
"[Modification of The National Archives, SP 71/19]",8.0
"[Modification of The National Archives, WO 381/11]",8.0
"[Modification of The National Archives, ADM 1/5438]",8.0
"[Modification of The National Archives, SP 71/19]",8.0
"[Removal from The National Archives, ADM 55/32]",8.0
"[Modification of The National Archives, LC 5/156]",8.0
"[Removal from The National Archives, ADM 139/1027]",8.0
"[Modification of The National Archives, ADM 139/1027]",8.0
"[Modification of The National Archives, CO 5/904]",8.0
"[Modification of The National Archives, ADM 1/5437]",8.0
"[Modification of The National Archives, CO 31/1]",8.0
"[Modification of The National Archives, ASSI 41/4]",8.0
"[Modification of The National Archives, ADM 1/5438]",8.0
"[Modification of The National Archives, SP 104/171]",8.0
"[Modification of The National Archives, ADM 1/5437]",8.0
"[Modification of The National Archives, ADM 223/31]",8.0
"[Book (The National Archives, ADM 55/24)]",7.5
"[Modification of The National Archives, DL 30/603/2]",7.0
"[Removal from The National Archives, CO 31/1]",7.0
"[Removal from The National Archives, ADM 55/32]",7.0
"[Modification of The National Archives, E 405/550]",7.0
"[Modification of The National Archives, SP 71/19]",7.0
"[Modification of The National Archives, ADM 1/2628]",7.0
"[Modification of The National Archives, HCA 13/78]",7.0
"[Modification of The National Archives, PC 6/15]",7.0
"[Modification of The National Archives, E 36/2]",7.0
"[Modification of The National Archives, E 405/550]",7.0
"[Modification of The National Archives, CO 299/89]",7.0
"[Modification of The National Archives, PC 6/15]",7.0
"[Modification of The National Archives, SP 104/171]",7.0
"[Modification of The National Archives, FO 802/614]",7.0
"[Modification of The National Archives, FO 802/614]",7.0
"[Modification of The National Archives, ADM 139/1025]",7.0
"[Modification of The National Archives, WO 381/11]",7.0
"[Modification of The National Archives, CRIM 10/28]",7.0
"[Removal from The National Archives, SP 105/207]",7.0
"[Modification of The National Archives, E 36/2]",7.0
"[Modification of The National Archives, ADM 139/1023]",7.0
"[Modification of The National Archives, E 405/550]",7.0
"[Modification of The National Archives, ADM 1/2628]",7.0
"[Modification of The National Archives, ADM 42/681]",6.0
"[Modification of The National Archives, FO 802/614]",6.0
"[Modification of The National Archives, ADM 42/681]",6.0
"[Modification of The National Archives, ADM 42/681]",6.0
"[Modification of The National Archives, HCA 13/56]",6.0
"[Modification of The National Archives, E 405/550]",6.0
"[Modification of The National Archives, ADM 37/5039]",5.0
"[Modification of The National Archives, HCA 13/78]",5.0
"[Modification of The National Archives, CRIM 10/28]",5.0
"[Modification of The National Archives, T 20/1220]",5.0
"[Modification of The National Archives, ADM 37/5039]",5.0
"[Modification of The National Archives, WO 69/905]",5.0
"[Modification of The National Archives, ADM 223/31]",5.0
"[Modification of The National Archives, RAIL 950/17]",5.0
"[Modification of The National Archives, SP 71/19]",5.0
"[Modification of The National Archives, SP 71/19]",5.0
"[Modification of The National Archives, SP 91/14]",5.0
"[Modification of The National Archives, FO 97/341]",5.0
"[Modification of The National Archives, DL 30/603/2]",5.0
"[Modification of The National Archives, DL 30/603/2]",5.0
"[Modification of The National Archives, HCA 13/78]",5.0
"[Modification of The National Archives, SP 91/14]",5.0
"[Modification of The National Archives, HCA 13/78]",5.0
"[Modification of The National Archives, T 20/1220]",5.0
"[Modification of The National Archives, HCA 13/78]",5.0
"[Modification of The National Archives, SP 91/14]",5.0
"[Modification of The National Archives, SP 71/19]",5.0
"[Modification of The National Archives, CO 473/9]",5.0
"[Modification of The National Archives, T 20/1220]",5.0
"[Modification of The National Archives, DL 30/603/2]",5.0
"[Modification of The National Archives, ADM 37/5039]",5.0
"[Modification of The National Archives, SP 71/19]",5.0
"[Modification of The National Archives, SP 105/207]",5.0
"[Modification of The National Archives, ASSI 41/4]",5.0
"[Removal from The National Archives, WO 69/905]",5.0
"[Modification of The National Archives, SP 91/14]",5.0
"[Modification of The National Archives, B 3/5243]",5.0
"[Modification of The National Archives, ADM 223/31]",5.0
"[Modification of The National Archives, HCA 13/78]",5.0
"[Modification of The National Archives, RAIL 527/1429]",5.0
"[Modification of The National Archives, SP 105/207]",5.0
"[Modification of The National Archives, T 20/1220]",5.0
"[Removal from The National Archives, PC 6/15]",4.0
"[Modification of The National Archives, ADM 1/2628]",4.0
"[Modification of The National Archives, HCA 13/78]",4.0
"[Removal from The National Archives, RAIL 950/17]",4.0
"[Removal from The National Archives, ADM 37/5039]",4.0
"[Removal from The National Archives, CRIM 10/28]",4.0
"[Modification of The National Archives, WO 69/905]",4.0
"[Removal from The National Archives, ADM 223/31]",4.0
"[Bookblock (The National Archives, SP 24/18)]",3.625
"[Bookblock (The National Archives, ADM 1/5438)]",3.125
"[Bookblock (The National Archives, E 405/550)]",3.125
"[Modification of The National Archives, SP 105/207]",3.0
"[Modification of The National Archives, SP 105/207]",3.0
"[Bookblock (The National Archives, T 20/1220)]",3.0
"[Modification of The National Archives, ADM 55/32]",3.0
"[Modification of The National Archives, SP 105/207]",3.0
"[Modification of The National Archives, B 3/5243]",3.0
"[Modification of The National Archives, WO 381/11]",3.0
"[Modification of The National Archives, ADM 1/5438]",3.0
"[Modification of The National Archives, ADM 139/1027]",3.0
"[Modification of The National Archives, ASSI 41/4]",3.0
"[Modification of The National Archives, ADM 139/1023]",3.0
"[Modification of The National Archives, ADM 1/5438]",3.0
"[Modification of The National Archives, ADM 55/107]",3.0
"[Addition to The National Archives, ASSI 41/4]",3.0
"[Modification of The National Archives, HCA 13/56]",3.0
"[Addition to The National Archives, SP 105/207]",3.0
"[Addition to The National Archives, ASSI 41/4]",3.0
"[Addition to The National Archives, CO 299/89]",3.0
"[Addition to The National Archives, E 36/2]",3.0
"[Modification of The National Archives, WO 381/11]",3.0
"[Modification of The National Archives, ADM 139/1023]",3.0
"[Modification of The National Archives, ADM 42/681]",3.0
"[Addition to The National Archives, ASSI 41/4]",3.0
"[Addition to The National Archives, FO 802/607]",3.0
"[Modification of The National Archives, ADM 139/1025]",3.0
"[Modification of The National Archives, ADM 55/32]",3.0
"[Bookblock (The National Archives, ADM 37/5039)]",3.0
"[Addition to The National Archives, ADM 37/5039]",3.0
"[Addition to The National Archives, WO 69/905]",3.0
"[Modification of The National Archives, ADM 1/5437]",3.0
"[Modification of The National Archives, E 315/128]",3.0
