label,centrality
"[Modification of Bodleian, G.Pamph.1670]",23.0
"[Modification of Bodleian, Arch.F.b.3]",22.0
"[Modification of Bodleian, Arch.F.b.3]",22.0
"[Modification of Bodleian, 23197 d1]",22.0
"[Modification of Bodleian, AA 106 Art]",22.0
"[Book (Bodleian, Inc.d.f2.1494.2)]",21.333333333333332
"[Book (Bodleian, Ms Digby 44)]",21.2
"[Book (Bodleian, Arch.B.c.4)]",21.166666666666668
"[Removal from Bodleian, Ms.Douce.88]",21.0
"[Book (Bodleian, C 8 22 Line?)]",21.0
"[Book (Bodleian, G.Pamph.2589)]",21.0
"[Book (Bodleian, AA 106 Art)]",21.0
"[Modification of Bodleian, AA 106 Art]",21.0
"[Removal from Bodleian, Ms. Auct. F.1.14]",21.0
"[Book (Bodleian, 23197 d1)]",20.4
"[Sewing production (Bodleian, AA 106 Art)]",20.0
"[Sewing production (Bodleian, Ms.BOM.187)]",20.0
"[Modification of Bodleian, Ms.Douce.88]",20.0
"[Modification of Bodleian, Ms.Douce.88]",20.0
"[Book (Bodleian, G.Pamph.2376)]",20.0
"[Book (Bodleian, Ms. Clas. Dep. C.43)]",19.5
"[Modification of Bodleian, Arch.B.c.4]",19.0
"[Modification of Bodleian, MS. e Mus. 65]",19.0
"[Book (Bodleian, Vet.Al.d.39)]",18.833333333333332
"[Book (Bodleian, Vet.256e.15182)]",18.8
"[Slips (Bodleian, Ms.BOM.187)]",18.666666666666668
"[Book (Bodleian, Ms. Auct. D.4.17)]",18.6
"[Book (Bodleian, Arch A f 134)]",18.333333333333332
"[Modification of Bodleian, Ms Digby 44]",18.0
"[Addition to Bodleian, Arch A f 134]",18.0
"[Addition to Bodleian, C 8 22 Line?]",18.0
"[Addition to Bodleian, Arch A f 134]",18.0
"[Addition to Bodleian, C 8 22 Line?]",18.0
"[Addition to Bodleian, C 8 22 Line?]",18.0
"[Modification of Bodleian, Arch.B.c.4]",18.0
"[Modification of Bodleian, Ms. Clas. Dep. C.43]",18.0
"[Modification of Bodleian, Ms. Clas. Dep. C.43]",18.0
"[Addition to Bodleian, Arch A f 134]",18.0
"[Addition to Bodleian, C 8 22 Line?]",18.0
"[Addition to Bodleian, Arch A f 134]",18.0
"[Modification of Bodleian, Ms. Clas. Dep. C.43]",18.0
"[Addition to Bodleian, Arch.B.c.4]",18.0
"[Addition to Bodleian, Ms. Clas. Dep. C.43]",18.0
"[Book (Bodleian, 8vo S 188 Art)]",17.6
"[Modification of Bodleian, MS. e Mus. 65]",17.0
"[Modification of Bodleian, Arch.B.c.4]",17.0
"[Book (Bodleian, Bliss B4)]",17.0
"[Modification of Bodleian, 23197 d1]",17.0
"[Addition to Bodleian, Arch A f 134]",17.0
"[Modification of Bodleian, Vet.256e.15182]",17.0
"[Modification of Bodleian, 23197 d1]",17.0
"[Modification of Bodleian, Inc.d.f2.1494.2]",17.0
"[Book (Bodleian, Ms.Douce.88)]",16.666666666666668
"[Book (Bodleian, Dance E 44)]",16.25
"[Modification of Bodleian, Vet.Al.d.39]",16.0
"[Addition to Bodleian, Arch.B.c.4]",16.0
"[Removal from Bodleian, Ms Digby 44]",16.0
"[Book (Bodleian, Ms.BOM.187)]",16.0
"[Modification of Bodleian, Ms Digby 44]",16.0
"[Addition to Bodleian, Vet.Al.d.39]",16.0
"[Modification of Bodleian, Vet.Al.d.39]",16.0
"[Modification of Bodleian, Inc.d.f2.1494.2]",16.0
"[Book (Bodleian, 6062)]",15.8
"[Book (Bodleian, Ms.Add.A.105)]",15.4
"[Modification of Bodleian, Ms. Auct. D.4.17]",15.0
"[Addition to Bodleian, Ms.Douce.88]",15.0
"[Modification of Bodleian, Ms. Auct. D.4.17]",15.0
"[Addition to Bodleian, AA 106 Art]",15.0
"[Addition to Bodleian, AA 106 Art]",15.0
"[Addition to Bodleian, AA 106 Art]",15.0
"[Modification of Bodleian, C 8 22 Line?]",15.0
"[Modification of Bodleian, C 8 22 Line?]",15.0
"[Addition to Bodleian, C 8 22 Line?]",15.0
"[Modification of Bodleian, C 8 22 Line?]",15.0
"[Modification of Bodleian, Arch A f 134]",15.0
"[Addition to Bodleian, AA 106 Art]",15.0
"[Addition to Bodleian, Arch.F.b.3]",15.0
"[Modification of Bodleian, Ms. Auct. F.1.14]",15.0
"[Modification of Bodleian, Inc.d.f2.1494.2]",15.0
"[Addition to Bodleian, Ms.Douce.88]",15.0
"[Addition to Bodleian, Ms.Douce.88]",15.0
"[Modification of Bodleian, C 8 22 Line?]",15.0
"[Book (Bodleian, Ms. Auct. F.1.14)]",14.8
"[Book (Bodleian, G.Pamph.1670)]",14.2
"[Removal from Bodleian, 6062]",14.0
"[Modification of Bodleian, Vet.Al.d.39]",14.0
"[Modification of Bodleian, Arch.B.c.4]",14.0
"[Modification of Bodleian, C 8 22 Line?]",14.0
"[Sewing production (Bodleian, Arch A f 134)]",14.0
"[Modification of Bodleian, MS. e Mus. 65]",14.0
"[Modification of Bodleian, Ms.Add.A.105]",14.0
"[Modification of Bodleian, Vet.256e.15182]",14.0
"[Modification of Bodleian, MS. e Mus. 65]",14.0
"[Modification of Bodleian, G.Pamph.1670]",14.0
"[Modification of Bodleian, MS. e Mus. 65]",14.0
"[Modification of Bodleian, Arch.B.c.4]",14.0
"[Modification of Bodleian, G.Pamph.2376]",14.0
"[Modification of Bodleian, Vet.Al.d.39]",14.0
"[Modification of Bodleian, G.Pamph.1670]",14.0
"[Modification of Bodleian, Vet.Al.d.39]",14.0
"[Modification of Bodleian, 23197 d1]",13.0
"[Modification of Bodleian, Ms. Auct. D.4.17]",13.0
"[Modification of Bodleian, Vet.Al.d.39]",13.0
"[Removal from Bodleian, 6062]",13.0
"[Modification of Bodleian, C 8 22 Line?]",13.0
"[Modification of Bodleian, 23197 d1]",13.0
"[Modification of Bodleian, Vet.Al.d.39]",13.0
"[Modification of Bodleian, Ms.Add.A.105]",13.0
