name,score
"[Bookblock (The National Archives, ADM 223/31)]",51.666666666666664
"[Cover (The National Archives, ADM 1/5437)]",51.32142857142857
"[Conservation assessment (The National Archives, RAIL 527/1429)]",51.0
"[Conservation assessment (The National Archives, E 36/2)]",51.0
"[Conservation assessment (The National Archives, ASSI 41/4)]",51.0
"[Conservation assessment (The National Archives, ADM 223/31)]",51.0
"[Conservation assessment (The National Archives, SP 105/207)]",50.0
"[Bookblock (The National Archives, WO 381/11)]",50.0
"[Conservation assessment (The National Archives, WO 381/11)]",50.0
"[Bookblock (The National Archives, HCA 13/56)]",50.0
"[Bookblock (The National Archives, CO 31/1)]",50.0
"[Conservation assessment (The National Archives, SP 71/19)]",50.0
"[Bookblock (The National Archives, CO 473/9)]",49.00000000000001
"[Conservation assessment (The National Archives, RAIL 950/17)]",49.0
"[Bookblock (The National Archives, FO 97/341)]",49.0
"[Bookblock (The National Archives, SP 104/143)]",48.75
"[Conservation assessment (The National Archives, PRO 30/69/1186)]",48.0
"[Conservation assessment (The National Archives, ADM 55/32)]",48.0
"[Bookblock (The National Archives, B 3/5243)]",47.0
"[Bookblock (The National Archives, RAIL 527/1429)]",46.75
"[Bookblock (The National Archives, CO 299/89)]",46.75
"[Cover (The National Archives, CRIM 10/28)]",46.0
"[Conservation assessment (The National Archives, ADM 55/107)]",45.0
"[Conservation assessment (The National Archives, CO 5/904)]",45.0
"[Conservation assessment (The National Archives, CO 473/9)]",45.0
"[Conservation assessment (The National Archives, ADM 139/1025)]",45.0
"[Bookblock (The National Archives, RAIL 950/17)]",44.583333333333336
"[Conservation assessment (The National Archives, ADM 1/2628)]",44.0
"[Conservation assessment (The National Archives, ADM 139/1023)]",44.0
"[Conservation assessment (The National Archives, LC 5/156)]",44.0
"[Conservation assessment (The National Archives, HCA 13/56)]",43.0
"[Cover (The National Archives, SP 71/19)]",42.0
"[Cover (The National Archives, CO 31/1)]",42.0
"[Conservation assessment (The National Archives, E 315/128)]",41.0
"[Conservation assessment (The National Archives, CRES 40/25A)]",41.0
"[Sewing structure (The National Archives, ADM 1/5438)]",36.0
"[Sewing structure (The National Archives, ADM 139/1027)]",36.0
"[Sewing structure (The National Archives, LC 5/156)]",36.0
"[Cover (The National Archives, DL 30/603/2)]",35.25
"[Cover (The National Archives, ADM 55/32)]",35.25
"[Cover (The National Archives, SP 104/171)]",35.25
"[Right board (The National Archives, FO 802/614)]",35.0
"[Left board (The National Archives, SP 104/171)]",35.0
"[Right board (The National Archives, SP 44/335)]",35.0
"[Right board (The National Archives, FO 802/607)]",35.0
"[Left board (The National Archives, ADM 1/5438)]",35.0
"[Right board (The National Archives, RAIL 950/17)]",35.0
"[Left board (The National Archives, CO 31/1)]",35.0
"[Left board (The National Archives, CRIM 10/28)]",35.0
"[Left board (The National Archives, SP 24/18)]",35.0
"[Right board (The National Archives, CRIM 10/28)]",35.0
"[Right board (The National Archives, ADM 1/5438)]",35.0
"[Left board (The National Archives, FO 802/614)]",35.0
"[Left board (The National Archives, SP 104/143)]",35.0
"[Left board (The National Archives, RAIL 950/17)]",35.0
"[Left board (The National Archives, FO 802/607)]",35.0
"[Right board (The National Archives, SP 104/143)]",35.0
"[Left board (The National Archives, ADM 37/5039)]",35.0
"[Right board (The National Archives, SP 24/18)]",35.0
"[Left board (The National Archives, SP 44/335)]",35.0
"[Right board (The National Archives, SP 104/171)]",35.0
"[Right board (The National Archives, CO 31/1)]",35.0
"[Right board (The National Archives, ADM 37/5039)]",35.0
"[Conservation assessment (The National Archives, ADM 55/24)]",34.0
"[Sewing structure (The National Archives, ADM 1/5437)]",33.92857142857143
"[Sewing structure (The National Archives, WO 69/905)]",33.285714285714285
"[Sewing structure (The National Archives, CO 31/1)]",33.0
"[Right board (The National Archives, WO 69/905)]",31.5
"[Left board (The National Archives, WO 69/905)]",31.5
"[Sewing structure (The National Archives, ASSI 41/4)]",30.0
"[Cover (The National Archives, ADM 223/31)]",30.0
"[Sewing structure (The National Archives, CO 5/904)]",30.0
"[Cover (The National Archives, WO 381/11)]",30.0
