name,score
"[3176-Conservation of ""A fifth reader""]",72.27932647131254
"[1114-Conservation of ""De ortv ac progressv art ...]",71.52154521340933
"[513-Conservation of ""Dyalogus doctoris venerab ...]",71.49831158057634
[boards],70.72434956162517
[boards],70.72434956162517
"[5650_740-Conservation of ""The history of the p ...]",70.62644300322575
[Pretreatment Examination: Condition Assessment],70.1119432048792
[Pretreatment Examination: Condition Assessment],69.29730172258857
[Pretreatment Examination: Condition Assessment],69.2519551885311
[Pretreatment Examination: Condition Assessment],68.91277149553498
"[treatment steps,Treatment Steps]",68.79752067654148
"[4449-Conservation of ""Poems on several occasions""]",68.43932179110453
[Conservation Documentation: Text],67.68896025234325
"[318-Conservation of ""The works of Sir William  ...]",67.44431167228079
[Pretreatment Examination: Condition Assessment],67.2871700744457
[Pretreatment Examination: Condition Assessment],66.5644898322906
[Pretreatment Examination: Condition Assessment],66.10126570032304
"[1724-Conservation of ""Galerie française, ou Co ...]",65.34873726754971
"[1726-Conservation of ""The Antiquarian repertor ...]",65.3487372675497
[boards],65.3076828949585
[boards],64.72434956162517
[Collection Item: The extravagant shepherd],63.733342179439234
"[317-Conservation of ""P. Terentii Comœdiæ sex""]",63.403607505390255
[board reattachment],63.0
"[1918-Conservation of ""The bombardier, and pock ...]",62.38568924895249
"[3179-Conservation of ""Analysis of the principl ...]",62.31432179110453
[boards],61.724349561625175
"[751-Conservation of ""Commentariorvm in Ioannis ...]",60.49690815898502
"[704-Conservation of ""A compendious system of a ...]",60.42528386573966
"[_1919-Conservation of ""The children's friend ...]",60.359758899973606
"[1307-Conservation of ""La destruction de l'aris ...]",60.313035992504155
[Pretreatment Examination: Condition Assessment],60.27773705865259
"[741-Conservation of ""The American universal ge ...]",59.87082633408957
"[treatment steps,Treatment Steps]",59.775347113670236
[Pretreatment Examination: Descriptive Attribute Assignment],59.72836789043029
[boards],59.224349561625175
"[2030-Conservation of ""The poems of Gray : ador ...]",58.2772673203458
"[2032-Conservation of ""A dictionary of the Engl ...]",58.2772673203458
"[320-Conservation of ""Poly-Olbion""]",58.2772673203458
"[treatment steps,Treatment Steps]",57.79860292762373
[Pretreatment Examination: Condition Assessment],56.85680059973974
[boards],56.03442708100502
[boards],56.03442708100502
[covering material],55.876811594202906
[boards],55.724349561625175
[Pretreatment Examination: Condition Assessment],55.477208517426384
[Pretreatment Examination: Condition Assessment],54.20673319158336
[covering material],53.61014492753623
"[treatment steps,Treatment Steps]",52.892758771779576
"[999-Conservation of ""Beʼur ʼal ha-Torah [pt. 1].""]",52.88295606927099
"[treatment steps,Treatment Steps]",52.73610292762373
[Pretreatment Examination: Condition Assessment],52.071559591189214
[Pretreatment Examination: Condition Assessment],51.73430761141071
[boards],51.201093747671685
[boards],51.201093747671685
"[treatment steps,Treatment Steps]",50.55510901843215
"[1741-Conservation of ""Spencer redivivus; conta ...]",50.449781999560024
"[treatment steps,Treatment Steps]",50.371019641344795
[Pretreatment Examination: Condition Assessment],49.16802399721379
[covering material],48.11014492753623
[covering material],48.11014492753623
"[treatment steps,Treatment Steps]",47.767758771779576
[boards],47.724349561625175
"[treatment steps,Treatment Steps]",47.57935297467812
"[treatment steps,Treatment Steps]",47.55609716072463
[Pretreatment Examination: Condition Assessment],47.426465796095414
"[treatment steps,Treatment Steps]",47.25143484018104
"[treatment steps,Treatment Steps]",47.08534469805307
"[treatment steps,Treatment Steps]",46.83134102286183
[Conservation Documentation: Text],46.79598595089758
[Pretreatment Examination: Descriptive Attribute Assignment],46.73683691585772
[Conservation Documentation: Text],46.62273430334564
[Pretreatment Examination: Condition Assessment],46.49858724089178
"[1740-Conservation of ""The extravagant shepherd""]",46.3086440719073
"[treatment steps,Treatment Steps]",46.05510901843215
"[treatment steps,Treatment Steps]",45.20018630801145
[boards],45.05768289495851
[hinges],44.875930348978876
[Conservation Documentation: Text],44.66448696057464
[Conservation Documentation: Text],44.590539617697836
[Conservation Documentation: Text],44.251250395389754
[covering material],44.11014492753623
[covering material],44.11014492753623
[covering material],44.11014492753623
[covering material],44.11014492753623
[boards],44.04948617364703
[boards],44.03442708100503
[boards],44.03442708100502
[boards],44.03442708100502
[boards],44.03442708100502
[Pretreatment Examination: Condition Assessment],43.8959612832369
[Conservation Documentation: Text],43.68880674537358
"[treatment steps,Treatment Steps]",43.57115625336665
[covering material],43.54347826086956
"[treatment steps,Treatment Steps]",43.076874752697876
[boards],42.86776041433835
[Conservation Documentation: Text],42.77242042928037
[Conservation Documentation: Text],42.572832635488176
"[treatment steps,Treatment Steps]",42.22081414663728
[Conservation Documentation: Text],41.59214044687015
"[treatment steps,Treatment Steps]",41.58423963228816
[covering material],41.11014492753623
"[treatment steps,Treatment Steps]",41.015336291159414
[boards],40.95109374767169
[covering material],40.79347826086956
"[treatment steps,Treatment Steps]",40.67398269049541
[hinges],40.625930348978876
"[treatment steps,Treatment Steps]",40.62081414663727
"[treatment steps,Treatment Steps]",40.49359716072463
[covering material],40.29347826086956
[covering material],40.11014492753623
[Conservation Documentation: Text],39.93349386781726
"[treatment steps,Treatment Steps]",39.8187337727465
[hinges],39.625930348978876
[wheat starch paste],39.5
[leaf attachment],39.404761904761905
[boards],39.367760414338356
[Conservation Documentation: Text],39.077914759457556
[Conservation Documentation: Text],39.04879912305037
[boards],39.03442708100502
[boards],39.03442708100502
[boards],39.03442708100501
"[treatment steps,Treatment Steps]",38.952125162058934
[Conservation Documentation: Text],38.36351240821626
[Conservation Documentation: Text],38.342354319802084
"[treatment steps,Treatment Steps]",38.34064935716208
[covering material],38.11014492753623
[covering material],38.11014492753623
"[treatment steps,Treatment Steps]",38.10295700378013
[boards],38.03442708100503
[Conservation Documentation: Text],38.011172030052435
[Pretreatment Examination: Descriptive Attribute Assignment],37.71466335298648
[Pretreatment Examination: Condition Assessment],37.497247593825534
"[treatment steps,Treatment Steps]",37.43629033711347
"[treatment steps,Treatment Steps]",37.43629033711347
[Pretreatment Examination: Condition Assessment],37.33058092715886
[Conservation Documentation: Text],37.17225531536804
"[treatment steps,Treatment Steps]",37.12698855003708
[Conservation Documentation: Text],37.01368460874692
[Conservation Documentation: Text],36.961328941240566
[Pretreatment Examination: Descriptive Attribute Assignment],36.83207501109581
"[treatment steps,Treatment Steps]",36.619679411806885
