name,incomingEdges
"[Bookblock (The National Archives, WO 381/11)]",8.0
"[Bookblock (The National Archives, SP 71/19)]",8.0
"[Bookblock (The National Archives, SP 104/143)]",8.0
"[Bookblock (The National Archives, RAIL 950/17)]",8.0
"[Bookblock (The National Archives, RAIL 527/1429)]",8.0
"[Bookblock (The National Archives, LC 5/156)]",8.0
"[Bookblock (The National Archives, HCA 13/56)]",8.0
"[Bookblock (The National Archives, FO 97/341)]",8.0
"[Bookblock (The National Archives, E 315/128)]",8.0
"[Bookblock (The National Archives, CRES 40/25A)]",8.0
"[Bookblock (The National Archives, CO 473/9)]",8.0
"[Bookblock (The National Archives, CO 31/1)]",8.0
"[Bookblock (The National Archives, CO 299/89)]",8.0
"[Bookblock (The National Archives, B 3/5243)]",8.0
"[Bookblock (The National Archives, ADM 55/24)]",8.0
"[Bookblock (The National Archives, ADM 223/31)]",8.0
"[Cover (The National Archives, SP 104/143)]",7.0
"[Cover (The National Archives, ADM 37/5039)]",7.0
"[Cover (The National Archives, WO 69/905)]",6.0
"[Cover (The National Archives, RAIL 527/1429)]",6.0
"[Cover (The National Archives, FO 802/607)]",6.0
"[Cover (The National Archives, E 36/2)]",6.0
"[Cover (The National Archives, CO 299/89)]",6.0
"[Cover (The National Archives, T 20/1220)]",5.0
"[Cover (The National Archives, FO 97/341)]",5.0
"[Cover (The National Archives, B 3/5243)]",5.0
"[Cover (The National Archives, ADM 1/5437)]",5.0
"[Sewing structure (The National Archives, SP 91/14)]",4.0
"[Sewing structure (The National Archives, CO 31/1)]",4.0
"[Right board (The National Archives, WO 69/905)]",4.0
"[Right board (The National Archives, WO 381/11)]",4.0
"[Right board (The National Archives, T 20/1220)]",4.0
"[Right board (The National Archives, SP 91/14)]",4.0
"[Right board (The National Archives, SP 71/19)]",4.0
"[Right board (The National Archives, SP 44/335)]",4.0
"[Right board (The National Archives, SP 24/18)]",4.0
"[Right board (The National Archives, SP 104/171)]",4.0
"[Right board (The National Archives, SP 104/143)]",4.0
"[Right board (The National Archives, RAIL 950/17)]",4.0
"[Right board (The National Archives, RAIL 527/1429)]",4.0
"[Right board (The National Archives, PRO 30/69/1186)]",4.0
"[Right board (The National Archives, PC 6/15)]",4.0
"[Right board (The National Archives, LC 5/156)]",4.0
"[Right board (The National Archives, HCA 13/78)]",4.0
"[Right board (The National Archives, HCA 13/56)]",4.0
"[Right board (The National Archives, FO 97/341)]",4.0
"[Right board (The National Archives, FO 802/614)]",4.0
"[Right board (The National Archives, FO 802/607)]",4.0
"[Right board (The National Archives, E 405/550)]",4.0
"[Right board (The National Archives, E 36/29)]",4.0
"[Right board (The National Archives, E 315/128)]",4.0
"[Right board (The National Archives, DL 30/603/2)]",4.0
"[Right board (The National Archives, CRIM 10/28)]",4.0
"[Right board (The National Archives, CRES 40/25A)]",4.0
"[Right board (The National Archives, CO 473/9)]",4.0
"[Right board (The National Archives, CO 31/1)]",4.0
"[Right board (The National Archives, CO 299/89)]",4.0
"[Right board (The National Archives, B 3/5243)]",4.0
"[Right board (The National Archives, ASSI 41/4)]",4.0
"[Right board (The National Archives, ADM 42/681)]",4.0
"[Right board (The National Archives, ADM 37/5039)]",4.0
"[Right board (The National Archives, ADM 223/31)]",4.0
"[Right board (The National Archives, ADM 139/1027)]",4.0
"[Right board (The National Archives, ADM 1/5438)]",4.0
"[Right board (The National Archives, ADM 1/5437)]",4.0
"[Left board (The National Archives, WO 69/905)]",4.0
"[Left board (The National Archives, WO 381/11)]",4.0
"[Left board (The National Archives, T 20/1220)]",4.0
"[Left board (The National Archives, SP 91/14)]",4.0
"[Left board (The National Archives, SP 71/19)]",4.0
"[Left board (The National Archives, SP 44/335)]",4.0
"[Left board (The National Archives, SP 24/18)]",4.0
"[Left board (The National Archives, SP 104/171)]",4.0
"[Left board (The National Archives, SP 104/143)]",4.0
"[Left board (The National Archives, RAIL 950/17)]",4.0
"[Left board (The National Archives, RAIL 527/1429)]",4.0
"[Left board (The National Archives, PRO 30/69/1186)]",4.0
"[Left board (The National Archives, PC 6/15)]",4.0
"[Left board (The National Archives, LC 5/156)]",4.0
"[Left board (The National Archives, HCA 13/78)]",4.0
"[Left board (The National Archives, HCA 13/56)]",4.0
"[Left board (The National Archives, FO 97/341)]",4.0
"[Left board (The National Archives, FO 802/614)]",4.0
"[Left board (The National Archives, FO 802/607)]",4.0
"[Left board (The National Archives, E 405/550)]",4.0
"[Left board (The National Archives, E 36/29)]",4.0
"[Left board (The National Archives, E 315/128)]",4.0
"[Left board (The National Archives, DL 30/603/2)]",4.0
"[Left board (The National Archives, CRIM 10/28)]",4.0
"[Left board (The National Archives, CRES 40/25A)]",4.0
"[Left board (The National Archives, CO 473/9)]",4.0
"[Left board (The National Archives, CO 31/1)]",4.0
"[Left board (The National Archives, CO 299/89)]",4.0
"[Left board (The National Archives, B 3/5243)]",4.0
"[Left board (The National Archives, ASSI 41/4)]",4.0
"[Left board (The National Archives, ADM 42/681)]",4.0
"[Left board (The National Archives, ADM 37/5039)]",4.0
"[Left board (The National Archives, ADM 223/31)]",4.0
"[Left board (The National Archives, ADM 139/1027)]",4.0
"[Left board (The National Archives, ADM 1/5438)]",4.0
"[Left board (The National Archives, ADM 1/5437)]",4.0
"[Cover (The National Archives, SP 104/171)]",4.0
"[Cover (The National Archives, PC 6/15)]",4.0
"[Cover (The National Archives, E 36/29)]",4.0
"[Cover (The National Archives, DL 30/603/2)]",4.0
"[Cover (The National Archives, CRIM 10/28)]",4.0
"[Cover (The National Archives, ADM 55/32)]",4.0
"[Conservation assessment (The National Archives, SP 105/207)]",4.0
"[Conservation assessment (The National Archives, CO 5/904)]",4.0
"[Sewing structure (The National Archives, WO 69/905)]",3.0
"[Sewing structure (The National Archives, WO 381/11)]",3.0
"[Sewing structure (The National Archives, T 20/1220)]",3.0
"[Sewing structure (The National Archives, SP 71/19)]",3.0
"[Sewing structure (The National Archives, SP 105/207)]",3.0
"[Sewing structure (The National Archives, SP 104/171)]",3.0
"[Sewing structure (The National Archives, LC 5/156)]",3.0
"[Sewing structure (The National Archives, HCA 13/78)]",3.0
"[Sewing structure (The National Archives, E 405/550)]",3.0
"[Sewing structure (The National Archives, DL 30/603/2)]",3.0
"[Sewing structure (The National Archives, CRIM 10/28)]",3.0
"[Sewing structure (The National Archives, CO 5/904)]",3.0
"[Sewing structure (The National Archives, CO 299/89)]",3.0
"[Sewing structure (The National Archives, B 3/5243)]",3.0
"[Sewing structure (The National Archives, ASSI 41/4)]",3.0
"[Sewing structure (The National Archives, ADM 55/32)]",3.0
"[Sewing structure (The National Archives, ADM 55/107)]",3.0
"[Sewing structure (The National Archives, ADM 42/681)]",3.0
"[Sewing structure (The National Archives, ADM 37/5039)]",3.0
"[Sewing structure (The National Archives, ADM 139/1027)]",3.0
"[Sewing structure (The National Archives, ADM 139/1025)]",3.0
"[Sewing structure (The National Archives, ADM 139/1023)]",3.0
"[Sewing structure (The National Archives, ADM 1/5438)]",3.0
"[Sewing structure (The National Archives, ADM 1/5437)]",3.0
"[Sewing structure (The National Archives, ADM 1/2628)]",3.0
"[Right endleaves (The National Archives, WO 69/905)]",3.0
"[Right endleaves (The National Archives, SP 91/14)]",3.0
"[Right endleaves (The National Archives, SP 24/18)]",3.0
"[Right endleaves (The National Archives, SP 105/207)]",3.0
"[Right endleaves (The National Archives, PC 6/15)]",3.0
"[Right endleaves (The National Archives, HCA 13/78)]",3.0
"[Right endleaves (The National Archives, FO 802/614)]",3.0
"[Right endleaves (The National Archives, FO 802/607)]",3.0
"[Right endleaves (The National Archives, E 405/550)]",3.0
"[Right endleaves (The National Archives, E 36/2)]",3.0
"[Right endleaves (The National Archives, ADM 55/32)]",3.0
"[Right endleaves (The National Archives, ADM 55/107)]",3.0
"[Right endleaves (The National Archives, ADM 42/681)]",3.0
"[Right endleaves (The National Archives, ADM 1/5438)]",3.0
"[Right endleaves (The National Archives, ADM 1/5437)]",3.0
"[Right endleaves (The National Archives, ADM 1/2628)]",3.0
"[Modification of The National Archives, SP 104/143]",3.0
"[Modification of The National Archives, SP 104/143]",3.0
"[Modification of The National Archives, SP 104/143]",3.0
"[Modification of The National Archives, HCA 13/56]",3.0
"[Modification of The National Archives, FO 802/614]",3.0
"[Modification of The National Archives, FO 802/614]",3.0
"[Modification of The National Archives, FO 802/614]",3.0
"[Modification of The National Archives, FO 802/614]",3.0
"[Modification of The National Archives, FO 802/607]",3.0
"[Modification of The National Archives, FO 802/607]",3.0
"[Modification of The National Archives, FO 802/607]",3.0
"[Modification of The National Archives, FO 802/607]",3.0
"[Modification of The National Archives, E 405/550]",3.0
"[Modification of The National Archives, E 36/2]",3.0
"[Modification of The National Archives, E 36/2]",3.0
"[Modification of The National Archives, E 36/2]",3.0
"[Modification of The National Archives, E 36/2]",3.0
"[Modification of The National Archives, DL 30/603/2]",3.0
"[Modification of The National Archives, CRIM 10/28]",3.0
"[Modification of The National Archives, CRIM 10/28]",3.0
"[Modification of The National Archives, CRIM 10/28]",3.0
"[Modification of The National Archives, CRIM 10/28]",3.0
"[Modification of The National Archives, B 3/5243]",3.0
"[Modification of The National Archives, ASSI 41/4]",3.0
"[Modification of The National Archives, ADM 37/5039]",3.0
"[Modification of The National Archives, ADM 37/5039]",3.0
"[Modification of The National Archives, ADM 37/5039]",3.0
"[Main conservation event (The National Archives, ADM 55/24)]",3.0
"[Left endleaves (The National Archives, WO 69/905)]",3.0
"[Left endleaves (The National Archives, SP 91/14)]",3.0
"[Left endleaves (The National Archives, SP 24/18)]",3.0
"[Left endleaves (The National Archives, SP 105/207)]",3.0
"[Left endleaves (The National Archives, PC 6/15)]",3.0
"[Left endleaves (The National Archives, HCA 13/78)]",3.0
"[Left endleaves (The National Archives, FO 802/614)]",3.0
"[Left endleaves (The National Archives, FO 802/607)]",3.0
"[Left endleaves (The National Archives, E 405/550)]",3.0
"[Left endleaves (The National Archives, E 36/2)]",3.0
"[Left endleaves (The National Archives, ADM 55/32)]",3.0
"[Left endleaves (The National Archives, ADM 55/107)]",3.0
"[Left endleaves (The National Archives, ADM 42/681)]",3.0
"[Left endleaves (The National Archives, ADM 1/5438)]",3.0
"[Left endleaves (The National Archives, ADM 1/5437)]",3.0
"[Left endleaves (The National Archives, ADM 1/2628)]",3.0
"[Cover (The National Archives, WO 381/11)]",3.0
"[Cover (The National Archives, SP 71/19)]",3.0
"[Cover (The National Archives, RAIL 950/17)]",3.0
"[Cover (The National Archives, FO 802/614)]",3.0
"[Cover (The National Archives, CO 473/9)]",3.0
"[Cover (The National Archives, CO 31/1)]",3.0
"[Cover (The National Archives, ADM 42/681)]",3.0
"[Cover (The National Archives, ADM 223/31)]",3.0
"[Conservation assessment (The National Archives, WO 381/11)]",3.0
"[Conservation assessment (The National Archives, T 20/1220)]",3.0
"[Conservation assessment (The National Archives, SP 91/14)]",3.0
"[Conservation assessment (The National Archives, SP 44/335)]",3.0
"[Conservation assessment (The National Archives, SP 24/18)]",3.0
"[Conservation assessment (The National Archives, SP 104/171)]",3.0
"[Conservation assessment (The National Archives, SP 104/143)]",3.0
"[Conservation assessment (The National Archives, PRO 30/69/1186)]",3.0
"[Conservation assessment (The National Archives, PC 6/15)]",3.0
"[Conservation assessment (The National Archives, HCA 13/78)]",3.0
"[Conservation assessment (The National Archives, FO 97/341)]",3.0
"[Conservation assessment (The National Archives, FO 802/614)]",3.0
"[Conservation assessment (The National Archives, FO 802/607)]",3.0
"[Conservation assessment (The National Archives, E 405/550)]",3.0
"[Conservation assessment (The National Archives, E 36/29)]",3.0
"[Conservation assessment (The National Archives, E 36/2)]",3.0
"[Conservation assessment (The National Archives, DL 30/603/2)]",3.0
"[Conservation assessment (The National Archives, CRIM 10/28)]",3.0
"[Conservation assessment (The National Archives, B 3/5243)]",3.0
"[Conservation assessment (The National Archives, ADM 55/32)]",3.0
"[Conservation assessment (The National Archives, ADM 55/24)]",3.0
"[Conservation assessment (The National Archives, ADM 55/107)]",3.0
"[Conservation assessment (The National Archives, ADM 42/681)]",3.0
"[Conservation assessment (The National Archives, ADM 139/1027)]",3.0
"[Conservation assessment (The National Archives, ADM 139/1025)]",3.0
"[Conservation assessment (The National Archives, ADM 139/1023)]",3.0
"[Conservation assessment (The National Archives, ADM 1/5438)]",3.0
"[Conservation assessment (The National Archives, ADM 1/2628)]",3.0
"[Textblock (The National Archives, WO 69/905)]",2.0
"[Textblock (The National Archives, T 20/1220)]",2.0
"[Textblock (The National Archives, SP 91/14)]",2.0
"[Textblock (The National Archives, SP 71/19)]",2.0
"[Textblock (The National Archives, HCA 13/78)]",2.0
"[Textblock (The National Archives, DL 30/603/2)]",2.0
"[Textblock (The National Archives, ADM 37/5039)]",2.0
"[Textblock (The National Archives, ADM 223/31)]",2.0
"[Spine-section (The National Archives, WO 69/905)]",2.0
"[Spine-section (The National Archives, T 20/1220)]",2.0
"[Spine-section (The National Archives, SP 104/171)]",2.0
"[Spine-section (The National Archives, SP 104/143)]",2.0
"[Spine-section (The National Archives, RAIL 950/17)]",2.0
"[Spine-section (The National Archives, RAIL 527/1429)]",2.0
"[Spine-section (The National Archives, PC 6/15)]",2.0
"[Spine-section (The National Archives, FO 97/341)]",2.0
"[Spine-section (The National Archives, FO 802/607)]",2.0
"[Spine-section (The National Archives, E 36/29)]",2.0
"[Spine-section (The National Archives, E 36/2)]",2.0
"[Spine-section (The National Archives, DL 30/603/2)]",2.0
"[Spine-section (The National Archives, CO 473/9)]",2.0
"[Spine-section (The National Archives, CO 299/89)]",2.0
"[Spine-section (The National Archives, B 3/5243)]",2.0
"[Spine-section (The National Archives, ADM 55/32)]",2.0
"[Spine-section (The National Archives, ADM 37/5039)]",2.0
"[Spine-section (The National Archives, ADM 1/5437)]",2.0
